period,cohort,family,comparison,candidate_model,reference_model,n_orders,paired_order_id_sha256,delta_log_loss,delta_brier,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_calibration_intercept,delta_calibration_slope,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,calibration_not_systematically_worse,calibration_systematically_worse,cohort_month
later,2018-04,xgboost,M1-M0,M1,M0,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.00198149589856,-0.000240100096303,0.106029400603,0.201783039155,2.58094002307,35.0841742835,12.9711889201,500,500,6,-0.00298040696054,-0.00114779016998,-0.000365975901927,-0.000137025805684,,False,True,2018-04
later,2018-04,xgboost,M2-M1,M2,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.000551293191,-6.71406627287e-05,-0.0280656907828,-0.0207427240767,-0.0980103806228,-14.650249195,-5.44274847616,500,500,6,-0.000884416019143,-0.000276498666721,-0.000109086613122,-3.40351318307e-05,,True,False,2018-04
later,2018-04,xgboost,M3-M1,M3,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.00121212819684,0.000144883752791,-0.0749230629889,-0.093807008324,-1.43748558247,-28.8059045128,-10.5684815076,500,500,6,0.000128520319384,0.0020179728452,8.51587638835e-06,0.000245678616469,,True,False,2018-04
later,2018-04,xgboost,M4-M1,M4,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.000855256010368,9.45326101078e-05,-0.0634798358019,-0.0786614193839,-0.882093425606,-29.3294068103,-10.7368486613,500,500,6,-0.0010193092393,0.00227389233058,-0.000151852447677,0.000280670771952,,True,False,2018-04
later,2018-04,xgboost,M4-M2,M4,M2,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.00140654920137,0.000161673272836,-0.0354141450191,-0.0579186953072,-0.784083044983,-14.6791576152,-5.2941001851,500,500,6,-0.000673041472405,0.00320182518049,-0.000108972098509,0.000395273324186,,False,True,2018-04
later,2018-04,xgboost,M4-M3,M4,M3,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.00035687218647,-5.03511426833e-05,0.011443227187,0.01514558894,0.555392156863,-0.523502297439,-0.168367153622,500,500,6,-0.00124563302485,0.000282465273661,-0.000173536628071,3.94986533505e-05,,False,True,2018-04
later,2018-04,xgboost,M5-M4,M5,M4,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.00920595275579,0.00130167900663,-0.0542818243004,-0.223903023933,-2.58094002307,-18.2173836989,-6.96897180076,500,500,6,0.00698832262087,0.0109111401255,0.00097668395753,0.00154685934023,,False,True,2018-04
later,2018-04,xgboost,M4E-M4,M4E,M4,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.000639535102703,-7.08174896764e-05,0.00528226229367,0.0539406972483,-0.326701268743,0.977431370786,0.370222200525,500,500,6,-0.00102019602277,-0.000427760213427,-0.000124467531283,-3.9815927665e-05,,False,True,2018-04
later,2018-05,logistic_l2,M1-M0,M1,M0,6749,5ba9c39fb7a95e02255cc9707656867769dd51ba2afc32a961f00a0dd34fba0f,0.00520099136939,0.000138020793656,0.059342943316,0.112843549337,1.67018142296,-18.8292468394,-8.24916206031,500,500,5,-0.0284226678456,0.0396811124832,-0.00280703409097,0.00314721133283,,False,True,2018-05
later,2018-05,logistic_l2,M2-M1,M2,M1,6749,5ba9c39fb7a95e02255cc9707656867769dd51ba2afc32a961f00a0dd34fba0f,-0.00462887832615,-0.00044421604191,0.0183140238874,0.0196920915907,0.406260346125,0.138318025652,0.0476947705063,500,500,5,-0.00647774487859,-0.00176604176981,-0.000592530845855,-0.000132860526327,,True,False,2018-05
