period,cohort,family,model_id,quantile,n_orders,empirical_coverage,coverage_error,median_prediction,mean_prediction,comparison,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-06,xgboost_quantile,Q1,0.5,71,0.464788732394,-0.0352112676056,7.01049137115,6.98506040304,Q1-unconditional,False,True,False,True,2018-06
later,2018-06,xgboost_quantile,Q2,0.5,71,0.43661971831,-0.0633802816901,6.909719944,6.90237816287,Q2-Q1,True,False,False,True,2018-06
later,2018-06,xgboost_quantile,Q3,0.5,71,0.450704225352,-0.0492957746479,6.9921708107,6.88426195736,Q3-Q1,True,False,False,True,2018-06
later,2018-06,xgboost_quantile,Q4,0.5,71,0.464788732394,-0.0352112676056,6.96059322357,6.90286329431,Q4-Q1,True,False,False,True,2018-06
later,2018-06,linear_quantile,Q1,0.9,71,0.830985915493,-0.069014084507,22.6542154144,22.7849485789,Q1-unconditional,False,True,False,True,2018-06
later,2018-06,linear_quantile,Q2,0.9,71,0.830985915493,-0.069014084507,22.8350010363,22.8394327339,Q2-Q1,True,False,False,True,2018-06
later,2018-06,linear_quantile,Q3,0.9,71,0.830985915493,-0.069014084507,22.7861925408,22.7256414074,Q3-Q1,True,False,False,True,2018-06
later,2018-06,linear_quantile,Q4,0.9,71,0.830985915493,-0.069014084507,22.7655927013,22.708020966,Q4-Q1,True,False,False,True,2018-06
later,2018-06,xgboost_quantile,Q1,0.9,71,0.816901408451,-0.0830985915493,22.9195423126,23.9263784382,Q1-unconditional,False,True,False,True,2018-06
later,2018-06,xgboost_quantile,Q2,0.9,71,0.830985915493,-0.069014084507,24.8319683075,25.305752096,Q2-Q1,True,False,True,False,2018-06
later,2018-06,xgboost_quantile,Q3,0.9,71,0.802816901408,-0.0971830985915,23.3065052032,24.05725009,Q3-Q1,True,False,True,False,2018-06
later,2018-06,xgboost_quantile,Q4,0.9,71,0.830985915493,-0.069014084507,23.0732975006,24.1430388437,Q4-Q1,True,False,True,False,2018-06
terminal,2018-07_to_2018-08,linear_quantile,Q1,0.5,601,0.660565723794,0.160565723794,5.25534936417,5.70995772772,Q1-unconditional,False,True,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q2,0.5,601,0.662229617304,0.162229617304,5.35329767598,5.72201387396,Q2-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q3,0.5,601,0.657237936772,0.157237936772,5.25854373582,5.74613206815,Q3-Q1,True,False,True,False,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q4,0.5,601,0.658901830283,0.158901830283,5.30100373789,5.71204630932,Q4-Q1,True,False,True,False,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q1,0.5,601,0.720465890183,0.220465890183,6.35104751587,6.53166226182,Q1-unconditional,False,True,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q2,0.5,601,0.722129783694,0.222129783694,6.34617376328,6.50727313688,Q2-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q3,0.5,601,0.718801996672,0.218801996672,6.29542636871,6.47885119379,Q3-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q4,0.5,601,0.722129783694,0.222129783694,6.42771434784,6.5933218645,Q4-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q1,0.9,601,0.956738768719,0.0567387687188,16.7228528322,17.6868696384,Q1-unconditional,False,True,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q2,0.9,601,0.96006655574,0.0600665557404,16.9301821777,17.7879495634,Q2-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q3,0.9,601,0.95840266223,0.0584026622296,16.6168132244,17.6257265747,Q3-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q4,0.9,601,0.95840266223,0.0584026622296,16.7329072277,17.6944924771,Q4-Q1,True,False,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q1,0.9,601,0.961730449251,0.0617304492512,19.8192443848,20.6707860547,Q1-unconditional,False,True,False,True,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q2,0.9,601,0.963394342762,0.0633943427621,21.0688648224,21.5798419184,Q2-Q1,True,False,True,False,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q3,0.9,601,0.963394342762,0.0633943427621,21.7554264069,22.5452307322,Q3-Q1,True,False,True,False,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q4,0.9,601,0.963394342762,0.0633943427621,20.5787258148,21.1022366002,Q4-Q1,True,False,True,False,2018-07_to_2018-08
aggregate,later_pooled,linear_quantile,Q1,0.5,3477,0.432556801841,-0.0674431981593,6.21168370993,6.17107086012,Q1-unconditional,False,True,False,True,later_pooled
aggregate,later_pooled,linear_quantile,Q1,0.9,3477,0.87604256543,-0.02395743457,19.9995580948,20.8728209694,Q1-unconditional,False,True,False,True,later_pooled
aggregate,later_pooled,linear_quantile,Q2,0.5,3477,0.430255967788,-0.0697440322117,6.1865648243,6.13365898576,Q2-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,linear_quantile,Q2,0.9,3477,0.873454127121,-0.0265458728789,20.0703073579,20.5346098912,Q2-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,linear_quantile,Q3,0.5,3477,0.44089732528,-0.0591026747196,6.34645135844,6.34462909916,Q3-Q1,True,False,True,False,later_pooled
aggregate,later_pooled,linear_quantile,Q3,0.9,3477,0.874892148404,-0.0251078515962,20.0017346116,20.8579688812,Q3-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,linear_quantile,Q4,0.5,3477,0.439171699741,-0.0608283002588,6.29835243817,6.30541513676,Q4-Q1,True,False,True,False,later_pooled
aggregate,later_pooled,linear_quantile,Q4,0.9,3477,0.873454127121,-0.0265458728789,20.0624913502,20.5314896763,Q4-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q1,0.5,3477,0.430831176301,-0.0691688236986,6.0167388916,6.13220213294,Q1-unconditional,False,True,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q1,0.9,3477,0.865401207938,-0.0345987920621,20.7599124908,21.3841386229,Q1-unconditional,False,True,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q2,0.5,3477,0.428530342249,-0.0714696577509,5.98993253708,6.10581156725,Q2-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q2,0.9,3477,0.873741731378,-0.0262582686224,20.5187416077,21.3806876845,Q2-Q1,True,False,True,False,later_pooled
aggregate,later_pooled,xgboost_quantile,Q3,0.5,3477,0.429105550762,-0.0708944492378,5.96649026871,6.10442129277,Q3-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q3,0.9,3477,0.875754961173,-0.0242450388266,21.2137031555,21.86952077,Q3-Q1,True,False,True,False,later_pooled
aggregate,later_pooled,xgboost_quantile,Q4,0.5,3477,0.433132010354,-0.0668679896462,6.07063388824,6.13914746912,Q4-Q1,True,False,False,True,later_pooled
aggregate,later_pooled,xgboost_quantile,Q4,0.9,3477,0.877192982456,-0.0228070175439,20.9844226837,21.6509591441,Q4-Q1,True,False,True,False,later_pooled
