analysis,period,cohort,family,model_id,probability_type,comparison,quantile,n_orders,metric,estimate,interpretation,terminal_estimate,later_pooled_estimate,later_pooled_n_orders
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,roc_auc,0.639074301664,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,wace,0.0494150088224,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,calibration_intercept,-1.64631420856,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,calibration_slope,0.580014992645,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.02701149219,terminal_minus_january_june_pooled_calibration_shift,-1.64631420856,-0.619302716364,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0127565877159,terminal_minus_january_june_pooled_calibration_shift,0.580014992645,0.592771580361,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0174336079796,terminal_minus_january_june_pooled_calibration_shift,0.0494150088224,0.0319814008429,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,log_loss,0.207843009458,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,brier,0.051037001921,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,average_precision,0.0801485800194,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,roc_auc,0.639074301664,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,wace,0.0494150088224,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,calibration_intercept,-1.64631420856,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,,,12507,calibration_slope,0.580014992645,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.02701149219,terminal_minus_january_june_pooled_calibration_shift,-1.64631420856,-0.619302716364,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0127565877159,terminal_minus_january_june_pooled_calibration_shift,0.580014992645,0.592771580361,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M5,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0174336079796,terminal_minus_january_june_pooled_calibration_shift,0.0494150088224,0.0319814008429,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,log_loss,0.21027013961,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,brier,0.0516128854035,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,average_precision,0.0780385322682,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,roc_auc,0.63058852861,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,wace,0.0521009371903,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,calibration_intercept,-1.71775648211,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,,,12507,calibration_slope,0.554558083845,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.00538957318,terminal_minus_january_june_pooled_calibration_shift,-1.71775648211,-0.712366908934,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.021331582884,terminal_minus_january_june_pooled_calibration_shift,0.554558083845,0.575889666729,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0211880360266,terminal_minus_january_june_pooled_calibration_shift,0.0521009371903,0.0309129011638,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,log_loss,0.21027013961,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,brier,0.0516128854035,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,average_precision,0.0780385322682,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,roc_auc,0.63058852861,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,wace,0.0521009371903,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,calibration_intercept,-1.71775648211,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,,,12507,calibration_slope,0.554558083845,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.00538957318,terminal_minus_january_june_pooled_calibration_shift,-1.71775648211,-0.712366908934,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.021331582884,terminal_minus_january_june_pooled_calibration_shift,0.554558083845,0.575889666729,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4E,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0211880360266,terminal_minus_january_june_pooled_calibration_shift,0.0521009371903,0.0309129011638,40270
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,log_loss,0.197372285781,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,brier,0.0462939367321,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,average_precision,0.0786463686004,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,roc_auc,0.621038819617,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,wace,0.04256314813,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,calibration_intercept,15.6147142397,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,raw,,,12507,calibration_slope,7.3375688526,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,22.3368352811,terminal_minus_january_june_pooled_calibration_shift,15.6147142397,-6.72212104135,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,8.88713133308,terminal_minus_january_june_pooled_calibration_shift,7.3375688526,-1.54956248048,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,-0.00876335144351,terminal_minus_january_june_pooled_calibration_shift,0.04256314813,0.0513264995735,40270
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,log_loss,0.197372285781,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,brier,0.0462939367321,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,average_precision,0.0786463686004,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,roc_auc,0.621038819617,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,wace,0.04256314813,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,calibration_intercept,15.6147142397,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,,,12507,calibration_slope,7.3375688526,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,22.3368352811,terminal_minus_january_june_pooled_calibration_shift,15.6147142397,-6.72212104135,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,8.88713133308,terminal_minus_january_june_pooled_calibration_shift,7.3375688526,-1.54956248048,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,xgboost,M0,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,-0.00876335144351,terminal_minus_january_june_pooled_calibration_shift,0.04256314813,0.0513264995735,40270
breach_model,terminal,2018-07_to_2018-08,xgboost,M1,raw,,,12507,log_loss,0.196329776925,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,xgboost,M1,raw,,,12507,brier,0.0461590364311,terminal_stress_not_model_selection,,,
