period,cohort,family,quantile,ablation_id,representation,fitted_model_sha256,model_hash_type,reference_fitted_model_sha256,q1_reference_loss,skill_vs_q1,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,cohort_month
later,2018-01,linear_quantile,0.9,route_score_only,score_only,f06ff4fda0615e14fb84edaa92236588ec902439cdb0071125d87a847831da0e,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,route_metadata_only,metadata_only,bd92e38c5796727e1e6ed9c2a464bc53afd734c764640cf9889f46b508bf1a1c,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,-6.79008688287e-05,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72528923729,0.893300248139,-0.00669975186104,25.4743154427,25.1502206728,7,11.8808933002,22.4776202212,24.5115797783,2018-01
later,2018-01,linear_quantile,0.9,route_full,full,27141d188c8f42eb9d31fc3727c3d727c8deb304557a19e16e047af60e905728,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,-6.79008688287e-05,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72528923729,0.893300248139,-0.00669975186104,25.4743154427,25.1502206728,7,11.8808933002,22.4776202212,24.5115797783,2018-01
later,2018-01,linear_quantile,0.9,route_r1_score_only,score_only,923120e3a4e7ae1b55f70560470eea0429632091708f4246a93d52328f3512f2,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,route_r2_score_only,score_only,2c6f11b215796757257bef85fbfd2b0069ef1f267869dadebfafb427331f829b,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,combined_score_only,score_only,304cdc2c6420a67a9867792a393d174ffeb08fa6babf44a11a0a607798c97f36,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,combined_metadata_only,metadata_only,6310a3702e42079b21413cffb6a6d2e797d147eac9dbc23689660134769803ad,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0.00130886549964,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72016073258,0.898263027295,-0.00173697270471,25.4139465761,25.1848142457,7,11.8808933002,23.4896771007,24.5514062829,2018-01
later,2018-01,linear_quantile,0.9,combined_full,full,e0967ce0f0e6ea7233530973e3aca3ee6df2bffc7ea11a2b40d06a1b2fb39fdf,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0.00130886549964,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72016073258,0.898263027295,-0.00173697270471,25.4139465761,25.1848142457,7,11.8808933002,23.4896771007,24.5514062829,2018-01
later,2018-01,xgboost_quantile,0.9,seller_score_only,score_only,213462ae393345dd8483d18ac0c2ae9ee700292683ea8d6f9c0b26664b451e48,fitted_model,1dd30c1ef1ce0b8725ce735ce9557505b1961b85c8718d2976f8bc4d372ba619,3.79702554566,-0.0159488095408,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.8575835829,0.868486352357,-0.0315136476427,22.8749847412,23.5478595161,7,11.8808933002,20.4608951964,26.9506217957,2018-01
later,2018-01,xgboost_quantile,0.9,seller_metadata_only,metadata_only,5bd684dba729304e9d08e221ecebfb307783173ac601aaee07cae6e9b556702f,fitted_model,1dd30c1ef1ce0b8725ce735ce9557505b1961b85c8718d2976f8bc4d372ba619,3.79702554566,0.00239055404076,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.78794855089,0.885856079404,-0.0141439205955,23.6687393188,24.4983620442,7,11.8808933002,22.1317233832,26.9258453369,2018-01
