period,cohort,family,model_id,quantile,n_orders,pinball_loss,skill_vs_unconditional,skill_vs_q1,order_id_sha256,comparison,pinball_skill,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-05,linear_quantile,Q4,0.9,443,1.98808671104,0.0328108796511,0.00267371058583,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q4-Q1,0.00267371058583,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q1,0.9,443,2.45430192151,-0.193999287534,0,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q1-unconditional,-0.193999287534,False,True,False,True,2018-05
later,2018-05,xgboost_quantile,Q2,0.9,443,2.27985036217,-0.109129925809,0.0710799098551,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q2-Q1,0.0710799098551,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q3,0.9,443,2.2384534556,-0.088990644442,0.0879469897413,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q3-Q1,0.0879469897413,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q4,0.9,443,2.31453186061,-0.126002212003,0.056949008463,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q4-Q1,0.056949008463,True,False,True,False,2018-05
later,2018-06,linear_quantile,Q1,0.5,71,4.72950435466,0.0224314143209,0,5aaff04dc19d63b5a2dd637a07f5527d21f5d0a7b23e9e0b532681e840c404ca,Q1-unconditional,0.0224314143209,False,True,False,True,2018-06
later,2018-06,linear_quantile,Q2,0.5,71,4.71507910862,0.0254130517835,0.00305005449878,5aaff04dc19d63b5a2dd637a07f5527d21f5d0a7b23e9e0b532681e840c404ca,Q2-Q1,0.00305005449878,True,False,False,True,2018-06
later,2018-06,linear_quantile,Q3,0.5,71,4.70687807918,0.0271081699504,0.00478406906481,5aaff04dc19d63b5a2dd637a07f5527d21f5d0a7b23e9e0b532681e840c404ca,Q3-Q1,0.00478406906481,True,False,True,False,2018-06
later,2018-06,linear_quantile,Q4,0.5,71,4.7026443471,0.0279832644995,0.00567924364579,5aaff04dc19d63b5a2dd637a07f5527d21f5d0a7b23e9e0b532681e840c404ca,Q4-Q1,0.00567924364579,True,False,True,False,2018-06
later,2018-06,xgboost_quantile,Q1,0.5,71,4.83286679295,0.0010668346455,0,5aaff04dc19d63b5a2dd637a07f5527d21f5d0a7b23e9e0b532681e840c404ca,Q1-unconditional,0.0010668346455,False,True,False,True,2018-06
