definition,granularity,n_hrd_days,n_event_clusters,n_orders,pct_all_placed_orders,active_entities,entity_id_nonmissing_rate,historical_hrd_clusters_available,entities_support_ge_1,pct_entities_support_ge_1,order_weighted_support_ge_1_rate,entities_support_ge_5,pct_entities_support_ge_5,order_weighted_support_ge_5_rate,entities_support_ge_10,pct_entities_support_ge_10,order_weighted_support_ge_10_rate,entities_support_ge_20,pct_entities_support_ge_20,order_weighted_support_ge_20_rate,entities_support_ge_50,pct_entities_support_ge_50,order_weighted_support_ge_50_rate
both_top10,region_od,66,30,21117,0.21235707605514828,21,0.9944594402614008,30,21,1.0,0.9944594402614008,20,0.9523809523809523,0.9942700194156366,18,0.8571428571428571,0.9934649808211393,18,0.8571428571428571,0.9934649808211393,12,0.5714285714285714,0.9834730312070843
both_top10,state_od,66,30,21117,0.21235707605514828,299,0.9944594402614008,30,299,1.0,0.9944594402614008,144,0.4816053511705686,0.9789742861201876,101,0.3377926421404682,0.965288630013733,77,0.25752508361204013,0.9507505801013402,43,0.14381270903010032,0.9016905810484444
both_top10,zip2_od,66,30,21117,0.21235707605514828,3776,0.9944594402614008,30,3776,1.0,0.9944594402614008,1164,0.3082627118644068,0.75697305488469,521,0.13797669491525424,0.5569446417578254,181,0.0479343220338983,0.3447459392906189,42,0.011122881355932203,0.14632760335274897
both_top5,seller_id,27,16,10043,0.10099455958809747,1545,0.9947226924225829,16,1545,1.0,0.9947226924225829,467,0.3022653721682848,0.79946231205815,246,0.15922330097087378,0.6567758637857214,91,0.05889967637540453,0.4506621527432042,25,0.016181229773462782,0.2566962063128547
both_top5,seller_x_customer_region,27,16,10043,0.10099455958809747,2790,0.9947226924225829,16,2790,1.0,0.9947226924225829,460,0.16487455197132617,0.6284974609180524,195,0.06989247311827956,0.4575326097779548,73,0.026164874551971327,0.29771980483919147,15,0.005376344086021506,0.13501941650901125
both_top5,seller_x_customer_state,27,16,10043,0.10099455958809747,4399,0.9947226924225829,16,4399,1.0,0.9947226924225829,383,0.08706524210047738,0.41860001991436824,137,0.031143441691293475,0.2658568156925222,38,0.008638326892475562,0.14049586776859505,8,0.0018185951352580132,0.052972219456337746
both_top5,seller_x_state_od,27,16,10043,0.10099455958809747,4399,0.9947226924225829,16,4399,1.0,0.9947226924225829,383,0.08706524210047738,0.41860001991436824,137,0.031143441691293475,0.2658568156925222,38,0.008638326892475562,0.14049586776859505,8,0.0018185951352580132,0.052972219456337746
both_top5,region_od,27,16,10043,0.10099455958809747,21,0.9947226924225829,16,21,1.0,0.9947226924225829,19,0.9047619047619048,0.9941252613760828,17,0.8095238095238095,0.9930299711241661,15,0.7142857142857143,0.9905406750970825,12,0.5714285714285714,0.9837697899034153
both_top5,state_od,27,16,10043,0.10099455958809747,253,0.9947226924225829,16,253,1.0,0.9947226924225829,102,0.4031620553359684,0.9668425769192472,70,0.2766798418972332,0.9459324902917455,49,0.19367588932806323,0.916658369013243,28,0.11067193675889328,0.8536293936074878
both_top5,zip2_od,27,16,10043,0.10099455958809747,2824,0.9947226924225829,16,2824,1.0,0.9947226924225829,566,0.20042492917847027,0.5980284775465499,183,0.06480169971671389,0.35407746689236286,64,0.0226628895184136,0.19934282584884994,7,0.002478753541076487,0.04321417903017027
