period,cohort_month,cohort,model_family,family,specification,model_id,representation,probability_variant,probability_type,bin,n,positives,prevalence,mean_probability,min_probability,max_probability,absolute_calibration_error,weight,fitted_model_sha256,order_id_sha256
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,8,4027,579,0.143779488453,0.104003635047,0.0935021631394,0.115698662967,0.0397758534056,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,9,4027,703,0.17457164142,0.133243552364,0.115706193272,0.156353402595,0.0413280890561,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,10,4027,760,0.188726098833,0.222373940342,0.156356841705,0.560851734904,0.0336478415095,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,1,4027,65,0.0161410479265,0.0162340263422,6.33334749988e-06,0.0247420084088,9.29784157095e-05,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,2,4027,110,0.0273156195679,0.0301255480484,0.0247460135298,0.0356523364251,0.00280992848052,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,3,4027,191,0.0474298485225,0.0404406124607,0.0356541516917,0.044934973508,0.0069892360618,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,4,4027,245,0.0608393344922,0.0492301169667,0.0449378070551,0.053705541275,0.0116092175255,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,5,4027,174,0.0432083436802,0.0582229252663,0.0537077179677,0.0628250566189,0.0150145815861,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,6,4027,256,0.063570896449,0.0688226565386,0.062828778877,0.0754463723192,0.00525176008963,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,7,4027,394,0.097839582816,0.0840798922809,0.0754465399876,0.0935021336238,0.0137596905351,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,8,4027,579,0.143779488453,0.104003635047,0.0935021631394,0.115698662967,0.0397758534056,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,9,4027,703,0.17457164142,0.133243552364,0.115706193272,0.156353402595,0.0413280890561,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,raw,raw,10,4027,760,0.188726098833,0.222373940342,0.156356841705,0.560851734904,0.0336478415095,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,1,4027,242,0.0600943630494,0.0322498363464,0.00391570017365,0.0388761245215,0.027844526703,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,2,4027,427,0.106034268686,0.0419714891155,0.0388773871292,0.0444724744839,0.0640627795708,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,3,4027,390,0.096846287559,0.0465108056482,0.0444733323102,0.0484160910954,0.0503354819108,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,4,4027,412,0.102309411473,0.0503133365799,0.0484163922578,0.0521972332895,0.0519960748926,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,5,4027,404,0.100322820959,0.0541161229986,0.0521993207042,0.0561362555241,0.04620669796,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,6,4027,305,0.0757387633474,0.0581775159973,0.0561382409151,0.0603505687214,0.0175612473501,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,7,4027,298,0.0740004966476,0.0629889369267,0.0603516373284,0.065713787769,0.0110115597209,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,8,4027,334,0.0829401539608,0.0690131888002,0.0657155559303,0.0727073404303,0.0139269651606,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,9,4027,273,0.0677924012913,0.0777304048221,0.0727108191159,0.0836639247589,0.00993800353086,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,calibrated,calibrated,10,4027,392,0.0973429351875,0.0987355352788,0.083663954597,0.238802060536,0.00139260009134,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,raw,raw,1,4027,242,0.0600943630494,0.0322498363464,0.00391570017365,0.0388761245215,0.027844526703,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,raw,raw,2,4027,427,0.106034268686,0.0419714891155,0.0388773871292,0.0444724744839,0.0640627795708,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,raw,raw,3,4027,390,0.096846287559,0.0465108056482,0.0444733323102,0.0484160910954,0.0503354819108,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPS,DPS,full,raw,raw,4,4027,412,0.102309411473,0.0503133365799,0.0484163922578,0.0521972332895,0.0519960748926,0.1,0ea513409e8ee42b7b9d2d95a768e4f334e66a7d5bce5ad85dfcb1a36809a87c,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
