panel,estimand_role,estimand,outcome,period_summary,model_family,quantile,profile_block,representation,metric,metric_direction,estimate,evidence_label,label_namespace,source_path,source_sha256,note
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,both,full,delta_roc_auc,positive_is_better,0.328376734702,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,both,full,delta_top_10pct_lift,positive_is_better,1.65947656025,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,seller,full,delta_average_precision,positive_is_better,0.0183747776247,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,seller,full,delta_brier,negative_is_better,-0.000555753603763,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,seller,full,delta_log_loss,negative_is_better,-0.00417724557345,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,seller,full,delta_roc_auc,positive_is_better,0.0945499481936,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,seller,full,delta_top_10pct_lift,positive_is_better,0.123669830313,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,state_od,full,delta_average_precision,positive_is_better,0.0916703130924,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,state_od,full,delta_brier,negative_is_better,-0.00411197316072,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,state_od,full,delta_log_loss,negative_is_better,-0.0319350451486,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,state_od,full,delta_roc_auc,positive_is_better,0.304800568652,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,state_od,full,delta_top_10pct_lift,positive_is_better,1.18205349439,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,xgboost,,both,full,delta_average_precision,positive_is_better,0.008569781964,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
