task,period,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,n_events,order_id_sha256,difference_aggregation
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,common_support_ge20,wace,0.0326305619614,0.0307518292627,0.00187873269866,11808,570,f5cc7d869c28fd13b6a31f87cf8dd601247819e27d28140335bff57bc3b4f641,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_mature_support_ge20,brier,0.0475811016628,0.0475078990918,7.32025710674e-05,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_mature_support_ge20,log_loss,0.201620435941,0.20107490389,0.000545532050582,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_mature_support_ge20,wace,0.0230357603542,0.040169767341,-0.0171340069867,8594,425,cedb953f88f1be369845f61b51248676e162c2e395eceff210fd7a7f27037418,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_orders,brier,0.0463778362338,0.0463179732128,5.98630209873e-05,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_orders,log_loss,0.198006831405,0.197558715873,0.000448115532387,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,promise_only,all_orders,wace,0.024275504447,0.0414146306232,-0.0171391261762,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,all_orders,brier,0.0463778362338,0.0463222241049,5.5612128877e-05,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,all_orders,log_loss,0.198006831405,0.197594904007,0.000411927398015,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,all_orders,wace,0.024275504447,0.0263794319225,-0.00210392747549,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,common_support_ge20,brier,0.0482231245388,0.0481421497936,8.09747452572e-05,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,common_support_ge20,log_loss,0.203533573617,0.202935568311,0.000598005305424,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPS,,selected_90d,common_support_ge20,wace,0.0223436863853,0.0267214391849,-0.00437775279966,6374,320,10165f413bd12d273891cb81bda012f0350ebac406d0ecebefe74a679a6ed619,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,promise_only,all_mature_support_ge20,pinball_loss,2.10150510706,2.08677629176,0.0147288153019,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,promise_only,all_mature_support_ge20,pinball_skill_vs_reference,-0.00705816687684,0,-0.00705816687684,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,promise_only,all_orders,pinball_loss,2.00358276726,1.97164896785,0.0319337994094,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,promise_only,all_orders,pinball_skill_vs_reference,-0.0161964933566,0,-0.0161964933566,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,selected_90d,all_orders,pinball_loss,2.00358276726,1.92567210567,0.0779106615909,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,selected_90d,all_orders,pinball_skill_vs_reference,-0.0404589448855,0,-0.0404589448855,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,selected_90d,common_support_ge20,pinball_loss,2.04107332555,1.98825863399,0.0528146915681,302,,55577a349825aca5db344c0c4276393fd3cdcca0248211c56a8ae0cacbf1c3e0,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.5,selected_90d,common_support_ge20,pinball_skill_vs_reference,-0.0265632904418,0,-0.0265632904418,302,,55577a349825aca5db344c0c4276393fd3cdcca0248211c56a8ae0cacbf1c3e0,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,promise_only,all_mature_support_ge20,pinball_loss,2.0071022499,1.97571218502,0.0313900648806,581,,d4091f9d666a1f7ed2015b92ba1df45ae8c282e31cc64050d14595fa172b2a26,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,promise_only,all_mature_support_ge20,pinball_skill_vs_reference,-0.0158879745333,0,-0.0158879745333,581,,d4091f9d666a1f7ed2015b92ba1df45ae8c282e31cc64050d14595fa172b2a26,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,promise_only,all_orders,pinball_loss,1.99954433916,1.97164896785,0.027895371309,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,promise_only,all_orders,pinball_skill_vs_reference,-0.0141482443193,0,-0.0141482443193,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,selected_90d,all_orders,pinball_loss,1.99954433916,1.92064578498,0.0788985541837,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,selected_90d,all_orders,pinball_skill_vs_reference,-0.0410791801386,0,-0.0410791801386,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,selected_90d,common_support_ge20,pinball_loss,1.96611728871,1.89295718824,0.0731601004657,570,,784ae7b3f42c6e12559688c59411d3e4187f793a5f10b7381ca8a1e75f023ace,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQG,0.5,selected_90d,common_support_ge20,pinball_skill_vs_reference,-0.0386485763758,0,-0.0386485763758,570,,784ae7b3f42c6e12559688c59411d3e4187f793a5f10b7381ca8a1e75f023ace,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,promise_only,all_mature_support_ge20,pinball_loss,2.05419388114,2.0837134807,-0.0295195995549,425,,1e96f7682249f209c5f6475dbf371e86479802ce512c6dce962aa209aa253982,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,promise_only,all_mature_support_ge20,pinball_skill_vs_reference,0.0141668227558,0,0.0141668227558,425,,1e96f7682249f209c5f6475dbf371e86479802ce512c6dce962aa209aa253982,paired_same_terminal_orders
