task,period,row_type,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,order_id_sha256,difference_aggregation
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,all_orders,calibration_intercept,-2.04956302102,-1.5472264393,-0.502336581718,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,all_orders,calibration_slope,0.237840756262,0.402267019004,-0.164426262743,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,all_orders,wace,0.0186770219858,0.013950909185,0.0047261128008,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,common_support_ge20,absolute_calibration_intercept_error,2.18041241572,1.83284373969,0.347568676037,4397,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,common_support_ge20,absolute_calibration_slope_error,0.772152433438,0.660515919527,0.11163651391,4397,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,common_support_ge20,calibration_intercept,-2.18041241572,-1.83284373969,-0.347568676037,4397,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,common_support_ge20,calibration_slope,0.227847566562,0.339484080473,-0.11163651391,4397,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,common_support_ge20,wace,0.0165673499084,0.011986541806,0.00458080810241,4397,bdab3308f786b6e9296647bb1f40f6387f1c09625e6c7d4c713f58d2215418ca,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_mature_support_ge20,absolute_calibration_intercept_error,6.05296903031,14.7920439923,-8.73907496196,5047,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_mature_support_ge20,absolute_calibration_slope_error,1.92168300817,4.85160496777,-2.92992195961,5047,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_mature_support_ge20,calibration_intercept,6.05296903031,-14.7920439923,20.8450130226,5047,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_mature_support_ge20,calibration_slope,2.92168300817,-3.85160496777,6.77328797594,5047,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_mature_support_ge20,wace,0.0238291167058,0.0144408419831,0.00938827472265,5047,e19a09cfd01efdcc249492f2cfefe77cff09ae0bf159146e3b78d0eedd3757bb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_orders,absolute_calibration_intercept_error,6.10919206914,5.67757799403,0.431614075102,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_orders,absolute_calibration_slope_error,1.91102025468,1.92896485235,-0.0179445976711,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_orders,calibration_intercept,6.10919206914,-5.67757799403,11.7867700632,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_orders,calibration_slope,2.91102025468,-0.928964852352,3.83998510703,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,promise_only,all_orders,wace,0.0238111055571,0.0167570765094,0.00705402904762,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,all_orders,absolute_calibration_intercept_error,6.10919206914,8.77232105173,-2.66312898259,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,all_orders,absolute_calibration_slope_error,1.91102025468,2.78412242689,-0.873102172213,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,all_orders,calibration_intercept,6.10919206914,8.77232105173,-2.66312898259,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,all_orders,calibration_slope,2.91102025468,3.78412242689,-0.873102172213,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,all_orders,wace,0.0238111055571,0.0249893733385,-0.00117826778142,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,common_support_ge20,absolute_calibration_intercept_error,7.9133952503,8.49588013713,-0.582484886825,4261,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,common_support_ge20,absolute_calibration_slope_error,2.53936253626,2.72891118653,-0.189548650265,4261,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,common_support_ge20,calibration_intercept,7.9133952503,8.49588013713,-0.582484886825,4261,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,common_support_ge20,calibration_slope,3.53936253626,3.72891118653,-0.189548650265,4261,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPB,,selected_90d,common_support_ge20,wace,0.0241113714253,0.0240866422672,2.47291580801e-05,4261,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_mature_support_ge20,absolute_calibration_intercept_error,9.22409175966,5.27893941966,3.94515233999,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_mature_support_ge20,absolute_calibration_slope_error,2.91602135755,1.79717469916,1.11884665839,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_mature_support_ge20,calibration_intercept,9.22409175966,-5.27893941966,14.5030311793,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_mature_support_ge20,calibration_slope,3.91602135755,-0.797174699157,4.7131960567,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_mature_support_ge20,wace,0.0228143251364,0.0163464685168,0.00646785661964,6848,a8259b83a598732e8d792ebb52388050b2b7ba388157abdcb364b62a3abc21eb,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_orders,absolute_calibration_intercept_error,9.45563005176,5.67757799403,3.77805205772,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_orders,absolute_calibration_slope_error,2.98862462813,1.92896485235,1.05965977578,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_orders,calibration_intercept,9.45563005176,-5.67757799403,15.1332080458,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_orders,calibration_slope,3.98862462813,-0.928964852352,4.91758948048,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,promise_only,all_orders,wace,0.0237477207281,0.0167570765094,0.00699064421866,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,all_orders,absolute_calibration_intercept_error,9.45563005176,8.12198126913,1.33364878263,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,all_orders,absolute_calibration_slope_error,2.98862462813,2.54877779432,0.439846833812,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,all_orders,calibration_intercept,9.45563005176,8.12198126913,1.33364878263,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,all_orders,calibration_slope,3.98862462813,3.54877779432,0.439846833812,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,all_orders,wace,0.0237477207281,0.0242568121817,-0.000509091453604,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,common_support_ge20,absolute_calibration_intercept_error,9.18386160247,7.78738620641,1.39647539607,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,common_support_ge20,absolute_calibration_slope_error,2.90444114037,2.4432948162,0.461146324176,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,common_support_ge20,calibration_intercept,9.18386160247,7.78738620641,1.39647539607,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,common_support_ge20,calibration_slope,3.90444114037,3.4432948162,0.461146324176,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPG,,selected_90d,common_support_ge20,wace,0.021990879879,0.0240465110773,-0.00205563119826,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,,promise_only,all_mature_support_ge20,absolute_calibration_intercept_error,0.246660886296,14.0407249804,-13.7940640941,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,,promise_only,all_mature_support_ge20,absolute_calibration_slope_error,0.013897242051,4.61098937251,-4.59709213046,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,,promise_only,all_mature_support_ge20,calibration_intercept,0.246660886296,-14.0407249804,14.2873858667,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,,promise_only,all_mature_support_ge20,calibration_slope,1.01389724205,-3.61098937251,4.62488661456,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,xgboost,DPS,,promise_only,all_mature_support_ge20,wace,0.0101540304881,0.0144508160974,-0.00429678560927,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
