task,period,row_type,cohort,family,quantile,model_id,profile_block,history_mode,reference_kind,reference_model,population,n_orders,order_id_sha256,paired_exact,all_mature_pinball_loss,reference_pinball_loss,delta_pinball_loss,all_mature_pinball_skill_vs_reference,reference_pinball_skill_vs_reference,delta_pinball_skill_vs_reference,all_mature_empirical_coverage,reference_empirical_coverage,delta_empirical_coverage,all_mature_coverage_error,reference_coverage_error,delta_coverage_error,all_mature_absolute_coverage_error,reference_absolute_coverage_error,delta_absolute_coverage_error,all_mature_p90_absolute_error,reference_p90_absolute_error,delta_p90_absolute_error,favourable_primary,n_months,favourable_month_count,favourable_month_count_pinball_loss,favourable_month_count_absolute_coverage_error,difference_aggregation
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,3.01184292327,3.0127524324,0,0,0,0,0.863966341253,0.865667021526,0,-0.0360336587465,-0.0343329784744,0,0.0655914006977,0.0655914006977,0,19.9060460117,19.9060460117,0,,6,5,2,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.07397080429,3.0754830903,0,0,0,0,0.860722906873,0.862356893801,0,-0.0392770931267,-0.0376431061986,0,0.0649606059684,0.0649606059684,0,19.8974437186,19.8974437186,0,,6,4,2,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,all_orders,,,True,3.07397080429,3.08285227841,0.00048596112311,-0.000144838906949,0,-0.000144838906949,0.860722906873,0.859088919945,0,-0.0392770931267,-0.0409110800548,0,0.0649606059684,0.0649606059684,0,19.8974437186,20,-0.10704710901,,6,3,2,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,common_support_ge20,,,True,3.02291296975,3.03070426614,0,0,0,0,0.865397776591,0.863559541297,0,-0.0346022234092,-0.0364404587033,0,0.0661379733024,0.0673486270554,0,19.9043957246,20,-0.13956507704,,6,4,2,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,2.93054616885,2.92044001399,0.00698193174045,-0.00267132862861,0,-0.00267132862861,0.865779539317,0.874376671244,-0.00431654676259,-0.0342204606829,-0.0256233287562,-0.00431654676259,0.05400672163,0.0423909047944,0.00431654676259,19.4588202494,19.9060460117,-0.41554894769,,6,1,1,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.06854082637,3.0754830903,-0.00142692251271,0.000642312237716,0,0.000642312237716,0.857031798902,0.862356893801,-0.00124069478908,-0.0429682010981,-0.0376431061986,-0.00124069478908,0.0687403035926,0.0649606059684,0.00236936296064,19.6365619196,19.8974437186,-0.04869353465,,6,3,3,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,all_orders,,,True,3.06854082637,3.07997682418,-0.00857342282679,0.00282124497862,0,0.00282124497862,0.857031798902,0.856758017987,0,-0.0429682010981,-0.0432419820126,0,0.0687403035926,0.0692802603961,0,19.6365619196,19.5201690894,0.035178502,,6,6,6,1,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,common_support_ge20,,,True,3.03357671564,3.03661678913,-0.00778513311218,0.00325936125775,0,0.00325936125775,0.865590701183,0.864485402907,0,-0.0344092988173,-0.0355145970932,0,0.0505297771282,0.0500365363537,0.000575373993096,19.3380770218,19.3926706513,0.00184062914,,6,5,5,1,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,3.61781648008,3.61667278303,0.000307312366158,-8.09544301235e-05,0,-8.09544301235e-05,0.432139022027,0.436258498056,-0.00818208009219,-0.0678609779733,-0.0637415019437,-0.00818208009219,0.0703584804708,0.0704295704296,0.0025641025641,17.1130001068,17.1639998913,0.021000146867,,6,2,2,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.94380422479,3.94379671251,-0.000201138040783,8.84536344113e-05,0,8.84536344113e-05,0.445753602646,0.444247578549,-0.00248138957816,-0.0542463973541,-0.0557524214505,-0.00248138957816,0.0861273879638,0.085152022482,0,17.9849998951,17.9714999676,0.013499927518,,6,3,3,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,all_orders,,,True,3.94380422479,3.94406361304,-0.000712855546061,0.000172406641555,0,0.000172406641555,0.445753602646,0.438454522315,-0.0016339869281,-0.0542463973541,-0.0615454776854,-0.0016339869281,0.0861273879638,0.0883864241083,-0.00225903614458,17.9849998951,17.9849998951,0,,6,4,4,3,median_of_paired_monthly_differences
