variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"cr(actual_delivery_days, df=4, constraints=""center"")[3]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",,91171,1.27834215626,0.881399994298,-0.449170088539,3.00585440106,0.146959780617,3.59068199877,0.638157546178,20.2034705905,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,Intercept,Intercept,,91171,-2.23568059679,0.0998981240734,-2.43147732209,-2.03988387148,6.21924339648e-111,0.106919336128,0.0879068698466,0.130043811797,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]",,91171,0.00966217489805,0.0932012306738,-0.173008880538,0.192333230334,0.917431206653,1.00970900441,0.841130145124,1.21207434962,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]",,91171,-0.0359872891514,0.0921805565216,-0.216657860009,0.144683281706,0.696240788778,0.964652554958,0.805205415156,1.15567348936,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]",,91171,0.0229304683476,0.0925158932958,-0.15839735051,0.204258287205,0.80424708673,1.02319539261,0.853510571719,1.22661493149,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]",,91171,0.351727845721,0.12648141827,0.103828821199,0.599626870244,0.00542141493916,1.42152159788,1.1094105311,1.82143904047,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]",,91171,0.338133977437,0.13508189998,0.0733783185143,0.60288963636,0.0123083785322,1.40232837118,1.07613758268,1.82739167581,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.4-7 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.4-7 days late]",,91171,0.294039665186,0.155957592989,-0.011631600187,0.59971093056,0.0593782594164,1.34183712683,0.988435785354,1.82159215765,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.>=8 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.>=8 days late]",,91171,0.431696695722,0.27390177782,-0.105140924108,0.968534315551,0.115002671822,1.53986799577,0.900197654096,2.63408089726,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,B,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",,91171,0.0430820731441,0.128396366268,-0.208570180487,0.294734326775,0.737218032197,1.04402357763,0.81174406411,1.34276957337,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
