variant,model_id,row_term,column_term,covariance_hc1
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.0014067836553
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.00142339984044
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00142274638456
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00143866309922
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.00144247177589
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.00145608504764
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",0.00138148004307
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",0.000114852663469
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",8.96965557226e-06
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",-0.000114602572364
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",-0.00410675498527
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",Intercept,-0.00140385255462
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.00140640071059
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.00140910183294
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",0.00140368794881
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",0.0057944349355
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",0.00140837791044
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",0.00141179111604
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",0.00141033505349
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",0.00140911475142
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",0.00141051061465
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",0.00141040156061
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.00141030984083
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00141297027574
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00141309565435
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.00141181777274
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.00140934686272
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00140988136187
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00140654873595
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.00140459875117
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.00139902919554
