variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",,95824,-0.118660018313,0.0619958123568,-0.240169577725,0.0028495410981,0.0556200867842,0.888109690471,0.786494477813,1.0028536049,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",,95824,-0.0699557450022,0.0540515467907,-0.175894830021,0.0359833400163,0.195582080018,0.932435083905,0.838706185411,1.03663857597,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",,95824,-0.0779798827063,0.0562407262085,-0.188209680539,0.0322499151268,0.165582800957,0.924983034512,0.828440981068,1.0327755793,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",,95824,-0.113547793231,0.0525814432379,-0.216605528233,-0.0104900582298,0.0308140996572,0.892661532213,0.805247554088,0.989564770545,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",,95824,-0.272364710396,0.0534093060432,-0.37704502668,-0.167684394112,3.40418698572e-07,0.761576455583,0.685885190068,0.845620675438,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",,95824,-0.242058392502,0.0530152051832,-0.345966285295,-0.13815049971,4.9752282212e-06,0.785010337495,0.707536341084,0.87096760151,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",,95824,-0.10702352171,0.0500943102706,-0.205206565671,-0.0088404777494,0.0326435122016,0.898504538378,0.814479055621,0.991198484375,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",,95824,-0.0638895176367,0.0429729249818,-0.148114902911,0.020335867638,0.137083794122,0.938108638265,0.862332024789,1.02054405019,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",,95824,-0.112444138996,0.0460427949629,-0.202686358871,-0.0222019191213,0.0145994401025,0.893647265748,0.816534300008,0.978042729583,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",,95824,-0.0082956364029,0.0431332325155,-0.09283521867,0.0762439458642,0.847486956527,0.991738677438,0.911343660344,1.07922581472,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",,95824,-0.0332599946458,0.0433213568258,-0.118168293786,0.0516483044942,0.442635410092,0.967287037443,0.888546503176,1.05300534014,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",,95824,-0.117485829641,0.0444416986928,-0.204589958491,-0.0303817007914,0.0082030866909,0.889153111276,0.814981424121,0.970075184406,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",,95824,-0.228675520603,0.0456783422972,-0.318203426379,-0.139147614827,5.5511267754e-07,0.795586643101,0.727454789868,0.870099579379,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",,95824,-0.0964911968504,0.046649574922,-0.187922683592,-0.00505971010916,0.0385999760048,0.908017890982,0.828678775222,0.994953068663,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",,95824,-0.193911007299,0.0478717934553,-0.287737998347,-0.100084016251,5.10795361346e-05,0.823731207072,0.749958056752,0.904761400182,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",,95824,-0.237716180601,0.048804727463,-0.333371688704,-0.142060672498,1.11169043929e-06,0.788426430057,0.716503828277,0.867568617334,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",,95824,0.0442140319183,0.149082591594,-0.247982478329,0.336410542165,0.766791704856,1.0452060384,0.780373616608,1.39991363043,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[0]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",,95824,0.928668843834,0.0395320721524,0.851187406181,1.00615028149,4.97867720773e-122,2.53113759465,2.34242661309,2.73505154324,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[1]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",,95824,0.70930919307,0.175517674748,0.365300871914,1.05331751423,5.31691211618e-05,2.0325866486,1.44094748356,2.86714715922,True,,,,,Alternative observed low-review threshold: selected score <=3.
